A1	A2	B1	B2
29	26	2	1
13068	11654	12314	11938
605	606	710	520
1286	1045	848	831
269	196	170	113
22	12	15	7
0	0	0	0
1	0	0	0
0	0	0	0
5	2	1	0
240	212	261	169
3345	2910	2445	2562
0	0	0	0
2	0	3	0
14	16	27	10
0	0	0	0
4	0	1	1
0	0	0	0
3770	3654	4023	4654
4415	3695	2866	3547
39	45	119	176
3993	3503	4079	3969
2034	1779	2081	2005
967	783	922	1194
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
30172	29662	26520	27767
8	5	5	7
10	3	4	4
8	7	7	9
171	244	127	170
1359	1195	1488	1064
3623	3381	3138	3525
236	189	165	207
1116	960	918	840
2	2	2	1
2	2	2	1
0	0	1	4
0	0	1	0
6	8	10	7
156	187	187	191
127	162	149	148
533	619	708	701
621	592	728	549
141	109	134	121
23	20	23	6
16	12	25	11
278	259	291	301
4	2	1	2
294	348	324	300
2	0	2	0
10868	10331	9764	10187
180	182	232	188
2395	2160	2226	2278
58	70	174	129
194	185	120	230
2741	2298	2141	2228
374	381	357	361
679	469	695	557
8	6	3	5
1849	1636	1929	1651
28	20	43	29
84	76	90	88
2593	2555	2420	2081
25	44	18	35
4	4	1	3
0	2	0	2
0	0	0	2
120	96	49	101
123	96	126	99
1688	1625	1830	1833
168	187	169	216
237	172	174	125
116	107	107	64
478	515	401	411
3698	3607	3401	3028
710	707	582	550
745	739	591	557
2566	2139	2457	2113
2945	2777	2819	2447
436	369	462	307
4785	4473	4469	3715
129	89	85	120
467	390	347	430
50	26	14	36
259	216	178	235
344	293	255	306
17	18	12	16
38709	34978	32280	32366
195	173	202	189
400	419	428	254
68	75	65	54
72	76	75	60
594	547	636	542
171	128	220	143
727	608	893	704
1865	1748	1520	1434
0	0	0	0
10	10	13	15
1625	1454	2018	1375
44	20	38	25
23797	20598	24735	19647
6	4	6	3
289	178	227	132
4171	3307	3644	2347
108203	92818	107598	114932
58	81	110	247
39	57	62	139
61	87	124	253
2682	2199	2162	2108
225	221	226	230
3338	2990	4050	2685
0	0	0	0
6	4	0	1
540	475	477	450
52	58	75	46
10305	9157	10060	9419
445	312	489	388
96	69	80	83
213	169	129	156
0	2	0	0
0	0	0	0
315	319	260	255
110	80	85	73
83	52	58	48
288	252	297	260
417	350	431	367
597	543	617	473
1167	907	1308	985
4	3	7	3
2454	1955	1924	1815
499	436	640	468
72	56	82	68
5	0	2	4
2	0	0	0
153	102	182	166
44	44	21	22
1118	1079	1096	973
28	23	43	27
30	54	54	51
586	720	774	558
466	334	268	310
0	0	0	0
0	0	1	0
56	76	53	36
0	0	0	0
0	0	0	2
7	15	21	16
20	12	7	2
0	0	7	9
0	0	3	0
0	0	1	0
74	102	148	143
79	56	58	62
1372	1161	1336	1034
1842	1553	1847	1392
995	832	890	727
34	24	34	28
2553	2236	2160	1786
4	8	8	9
7122	6086	5614	5001
3928	3208	3134	2666
4806	4120	4532	3801
339	307	272	245
165	157	163	141
4610	3862	4290	2978
2	7	3	4
4	0	2	4
121	99	137	103
376	313	488	357
0	0	0	0
532	447	597	460
80	97	105	65
1217	948	1115	1104
46	47	48	31
2202	2024	2006	1998
140	121	137	121
0	2	1	4
160	120	182	126
7983	7540	6855	6139
0	0	0	0
0	1	2	0
0	0	0	1
60	55	65	39
4	0	0	0
0	2	1	0
41	49	57	37
39	56	43	44
1416	1234	1601	1333
329	260	330	287
4	2	4	1
1153	1071	1100	1067
1244	1008	1510	1368
3101	2569	2725	2187
110	166	59	61
4	14	5	2
11	18	4	3
4	8	5	2
1250	1219	1290	1143
693	646	669	598
0	0	0	0
0	0	0	0
261	269	361	305
95	62	79	61
7	7	15	6
14	5	12	6
117	116	139	101
30	23	35	23
33	63	53	38
351	323	266	298
992	833	1114	704
23	27	55	18
782	747	929	896
147	183	204	186
0	0	1	0
0	0	0	0
0	0	0	1
495	392	401	364
1	0	0	1
480	368	380	346
0	0	0	0
329	242	348	284
1679	1604	1430	1533
2693	2549	2043	2125
1739	1804	1752	1891
560	574	518	516
621	619	607	618
2994	2644	2700	2165
977	807	967	667
751	637	736	526
390	253	200	263
523	382	292	359
5122	4105	3842	4050
492	474	391	402
3	0	7	1
6130	5817	5155	4373
113	66	79	65
673	523	740	685
475	379	538	449
162	74	81	66
41	16	22	16
3	1	2	3
0	2	6	2
11	10	10	12
2353	2313	2173	1884
577	557	601	416
16	12	36	19
11	3	6	3
20	24	14	13
3761	3116	3670	2668
537	477	631	447
350	338	347	301
233	222	292	209
1447	1202	1653	1339
133	141	128	151
1763	1693	1413	1312
1491	1263	1176	1059
110	114	70	81
33	26	46	26
629	604	567	580
4554	4317	4034	3158
2339	2288	2146	1642
287	247	273	308
304	266	230	244
1055	994	902	916
0	2	3	1
2	0	1	2
142	135	177	155
1238	880	1153	785
199	156	212	142
4837	4738	3278	3791
1191	1077	707	808
857	766	523	551
177	143	117	36
0	0	0	0
0	3	0	0
156	89	86	87
52	52	56	34
430	406	474	471
228	206	233	138
59	67	87	58
96	89	116	98
125	117	140	114
815	778	638	733
1168	821	1069	910
0	4	3	2
2121	1953	2173	1772
1840	1493	1516	1399
6	9	13	6
14	11	13	15
6	4	4	5
904	976	1090	835
503	283	355	231
2	2	2	1
0	0	0	0
450	380	417	408
200	161	149	148
49	35	75	49
782	638	797	639
503	391	393	353
17	19	14	13
0	0	9	4
34	36	16	20
1867	1880	1864	1665
1413	1229	1253	1179
594	466	554	444
4	12	6	4
13	1	6	1
12	14	20	12
12	4	4	8
1102	962	1304	970
88	67	106	85
9	20	31	17
12	6	3	7
12184	11119	8692	7626
969	860	702	606
587	398	363	395
1711	1304	1384	845
2522	2365	2369	2098
3389	2846	2922	2582
2949	2499	2126	2122
3620	3162	2982	2797
1	2	0	1
793	724	1051	718
1715	1456	1783	1387
418	321	486	437
5651	4946	5326	4813
180	129	201	138
1727	1658	2105	1396
6	9	2	2
2352	1943	2326	1866
460	336	414	302
357	419	276	307
228	207	266	171
0	0	1	0
213	147	284	188
185	137	123	139
142	184	136	170
0	0	1	0
659	588	516	469
5	14	15	19
31	68	65	69
2	0	1	0
0	0	0	0
21	13	28	23
187	156	249	161
701	616	684	578
10	6	13	6
569	495	630	429
17	20	21	15
41	69	47	27
13	6	27	28
77	57	106	66
2	0	1	2
1002	733	1003	868
258	165	221	201
0	0	0	0
224	233	218	181
620	576	467	472
24	12	8	8
24	12	8	8
19	26	21	25
6293	5524	4784	4710
673	496	332	310
727	580	753	541
674	579	732	565
990	925	858	730
462	322	431	375
507	452	534	372
239	208	294	180
3	26	8	10
0	0	0	0
10524	10105	9015	9100
167	154	134	127
0	0	0	0
0	0	0	0
2454	2298	2610	2292
2	0	3	1
79	75	88	49
1	0	2	3
29	27	18	18
0	0	0	0
6	2	13	8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
77	84	60	61
257	229	236	261
0	0	1	1
4	0	0	0
0	0	0	1
2	0	0	1
1	0	0	0
1	0	2	0
2	0	0	0
0	0	0	0
9	11	11	2
0	0	2	3
1572	1330	1399	1143
0	2	2	0
4	2	7	2
0	0	0	0
2	0	0	1
0	0	0	0
678	641	579	602
330	314	367	269
0	4	0	0
0	0	0	0
0	3	1	2
8	3	1	0
0	0	0	0
1047	960	1281	963
106	119	148	88
1014	1077	793	898
1744	1565	1391	1227
477	472	376	353
47	54	66	67
13	3	9	9
524	519	536	618
20	26	4	5
4	4	2	4
47	31	25	24
1318	957	660	793
14	5	14	6
427	364	219	247
0	4	1	0
23	14	10	12
0	0	0	0
0	0	0	0
0	0	4	1
9243	7857	10592	7047
614	697	995	947
402	406	844	622
1939	1715	1560	1676
69	14	33	15
0	1	0	0
2	4	2	1
14134	12384	12081	11546
242	197	193	206
870	529	579	474
2	7	5	0
30	12	9	14
11	0	8	6
2	5	5	3
86	98	107	65
3146	2619	3352	2397
398	341	462	274
6	2	4	0
6	2	4	0
